,Symbol,Company Name,Last Price,Change,% Change,Volume,Weight,Price
221,PRU,Prudential Financial Inc,,0.01,(0.01%),,0.092919,95.22
222,KMI,Kinder Morgan Inc,,0.04,(0.22%),,0.092485,17.82
223,CEG,Constellation Energy,,-8.63,(-8.10%),,0.09201,97.93
224,ROK,Rockwell Automation Inc,,0.07,(0.02%),,0.091085,296.25
225,FIS,Fidelity National Info Serv,,1.12,(1.98%),,0.090744,57.41
226,VRSK,Verisk Analytics Inc,,0.06,(0.03%),,0.090322,234.73
227,GPN,Global Payments Inc,,-3.51,(-2.77%),,0.089816,123.33
228,CMI,Cummins Inc,,11.49,(4.81%),,0.089595,250.21
229,URI,United Rentals Inc,,-39.6,(-8.12%),,0.089178,448.55
230,MRNA,Moderna Inc,,0.53,(0.52%),,0.088403,102.02
231,BK,Bank of New York Mellon Corp,,1.0,(2.16%),,0.088158,47.01
232,HSY,Hershey Co,,1.75,(0.78%),,0.087933,225.32
233,CSGP,Costar Group Inc,,3.56,(4.40%),,0.087634,84.4
234,PPG,Ppg Industries Inc,,2.6,(1.90%),,0.087175,139.24
235,DVN,Devon Energy Corp,,-0.09,(-0.18%),,0.087137,50.32
236,XEL,Xcel Energy Inc,,1.84,(3.08%),,0.086901,61.54
237,FAST,Fastenal Co,,0.26,(0.45%),,0.086641,57.7
238,GWW,Ww Grainger Inc,,207.48,(29.09%),,0.085562,920.82
239,KR,Kroger Co,,-0.39,(-0.79%),,0.085352,48.59
240,EA,Electronic Arts Inc,,-0.07,(-0.05%),,0.085129,122.13
241,NEM,Newmont Corp,,0.07,(0.16%),,0.084534,40.26
242,ED,Consolidated Edison Inc,,-0.33,(-0.36%),,0.083852,90.5
243,LEN,Lennar Corp A,,1.17,(0.95%),,0.083648,124.4
244,WBD,Warner Bros Discovery Inc,,0.02,(0.12%),,0.083412,13.72
245,VICI,Vici Properties Inc,,0.05,(0.15%),,0.083067,30.94
246,DLTR,Dollar Tree Inc,,1.77,(1.20%),,0.082601,149.04
247,ABC,Amerisourcebergen Corp,,-0.06,(-0.03%),,0.08085,187.32
248,PEG,Public Service Enterprise Gp,,-0.49,(-0.81%),,0.080607,60.38
249,RSG,Republic Services Inc,,0.06,(0.04%),,0.080538,147.63
250,VMC,Vulcan Materials Co,,0.1,(0.04%),,0.079567,224.02
251,WST,West Pharmaceutical Services,,2.67,(0.68%),,0.0792,397.41
252,ALL,Allstate Corp,,0.41,(0.38%),,0.07833,109.45
253,OKE,Oneok Inc,,0.12,(0.18%),,0.077719,66.36
254,ILMN,Illumina Inc,,0.31,(0.17%),,0.077717,180.79
255,DAL,Delta Air Lines Inc,,0.31,(0.69%),,0.076897,44.48
256,PWR,Quanta Services Inc,,0.09,(0.04%),,0.076581,200.26
257,HPQ,Hp Inc,,0.02,(0.06%),,0.076176,32.79
258,MLM,Martin Marietta Materials,,0.03,(0.01%),,0.076143,455.47
259,ACGL,Arch Capital Group Ltd,,-3.45,(-4.50%),,0.075604,73.15
260,GEHC,Ge Healthcare Technology,,0.03,(0.04%),,0.075592,71.62
261,KDP,Keurig Dr Pepper Inc,,-0.01,(-0.03%),,0.075461,33.79
262,KEYS,Keysight Technologies In,,-6.81,(-4.35%),,0.075384,149.73
263,FTV,Fortive Corp,,-0.08,(-0.09%),,0.07491,79.34
264,PCG,P G & E Corp,,1.28,(7.34%),,0.074772,18.7
265,APTV,Aptiv Plc,,-3.96,(-4.01%),,0.074614,94.74
266,MTD,Mettler Toledo International,,159.58,(12.87%),,0.074009,1399.38
267,FANG,Diamondback Energy Inc,,0.32,(0.22%),,0.073522,149.98
268,IR,Ingersoll Rand Inc,,0.01,(0.01%),,0.073516,68.1
269,EXR,Extra Space Storage Inc,,8.55,(6.53%),,0.073373,139.56
